Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall, Area_Code, Prefix, Day_of_Week, Time
2394713994,2019-12-13 11:20:37,2019-10-15 00:00:00,,Virginia,757,No Subject Provided,N,239,471,1,0.00
8584286045,2019-12-13 11:21:28,2019-10-15 00:00:00,,Virginia,757,No Subject Provided,N,858,428,1,0.00
8138842079,2019-12-13 11:21:38,2019-12-13 11:09:00,Arlington,Virginia,703,Other,N,813,884,4,11.15
7372439845,2019-12-13 11:22:05,2019-12-13 10:43:00,Glen Allen,Virginia,804,"Calls pretending to be government, businesses, or family and friends",Y,737,243,4,10.72
8009405671,2019-12-13 11:22:13,2019-10-15 00:00:00,,Virginia,757,No Subject Provided,N,800,940,1,0.00
8004724495,2019-12-13 11:22:53,2019-12-12 12:50:00,,Virginia,804,"Calls pretending to be government, businesses, or family and friends",Y,800,472,3,12.83
8335872077,2019-12-13 11:22:57,2019-12-13 10:18:00,Richmond,Virginia,804,"Calls pretending to be government, businesses, or family and friends",Y,833,587,4,10.30
7572804418,2019-12-13 11:23:26,2019-10-15 00:00:00,,Virginia,757,No Subject Provided,N,757,280,1,0.00
5409754546,2019-12-13 11:23:49,2019-12-13 11:17:00,Blue Ridge,Virginia,540,Dropped call or no message,Y,540,975,4,11.28
2769522037,2019-12-13 11:24:23,2019-12-13 11:20:00,,Virginia,276,Medical  & prescriptions,N,276,952,4,11.33
5855371899,2019-12-13 11:25:45,2019-12-13 11:15:00,,Virginia,703,Other,Y,585,537,4,11.25
8043225006,2019-12-13 11:26:14,2019-12-13 11:07:00,North Chesterfield,Virginia,804,Other,Y,804,322,4,11.12
8302646369,2019-12-13 11:27:03,2019-12-13 11:20:00,,Virginia,757,"Calls pretending to be government, businesses, or family and friends",N,830,264,4,11.33
9543884439,2019-12-13 11:27:09,2019-12-13 11:18:00,Baskerville,Virginia,434,Medical  & prescriptions,Y,954,388,4,11.30
7035201890,2019-12-13 11:27:24,2019-12-13 11:20:00,Fairfax,Virginia,703,Other,N,703,520,4,11.33
7035469360,2019-12-13 11:27:36,2019-10-15 00:00:00,,Virginia,757,No Subject Provided,N,703,546,1,0.00
8007028668,2019-12-13 11:28:23,2019-12-13 09:39:00,VIRGINIA BEACH,Virginia,757,"Calls pretending to be government, businesses, or family and friends",Y,800,702,4,9.65
7037835608,2019-12-13 11:28:59,2019-07-01 00:00:00,,Virginia,757,No Subject Provided,N,703,783,0,0.00
7071966002,2019-12-13 11:29:16,2019-12-13 00:00:00,Richmond,Virginia,804,"Calls pretending to be government, businesses, or family and friends",Y,707,196,4,0.00
7037835608,2019-12-13 11:29:29,2019-07-01 00:00:00,,Virginia,757,No Subject Provided,N,703,783,0,0.00
8007071487,2019-12-13 11:31:09,2019-12-13 11:23:00,VIRGINIA BEACH,Virginia,757,"Calls pretending to be government, businesses, or family and friends",Y,800,707,4,11.38
5402690327,2019-12-13 11:32:40,2019-12-13 11:22:00,Union Hall,Virginia,540,Dropped call or no message,Y,540,269,4,11.37
8008232318,2019-12-13 11:32:47,2019-12-12 15:05:00,,Virginia,540,No Subject Provided,Y,800,823,3,15.08
8043225006,2019-12-13 11:33:11,2019-12-13 10:26:00,North Chesterfield,Virginia,804,Other,Y,804,322,4,10.43
7035652508,2019-12-13 11:33:18,2019-07-01 00:00:00,,Virginia,757,No Subject Provided,N,703,565,0,0.00
4015193940,2019-12-13 11:33:56,2019-07-01 00:00:00,,Virginia,757,No Subject Provided,N,401,519,0,0.00
7035652508,2019-12-13 11:34:48,2019-07-01 00:00:00,,Virginia,757,No Subject Provided,N,703,565,0,0.00
7573475623,2019-12-13 11:35:50,2019-07-01 00:00:00,,Virginia,757,No Subject Provided,N,757,347,0,0.00
2542210659,2019-12-13 11:35:57,2019-12-13 11:27:00,,Virginia,301,"Calls pretending to be government, businesses, or family and friends",Y,254,221,4,11.45
8043225009,2019-12-13 11:36:29,2019-12-13 09:59:00,North Chesterfield,Virginia,804,Other,Y,804,322,4,9.98
4344714740,2019-12-13 11:36:31,2019-07-01 00:00:00,,Virginia,757,No Subject Provided,N,434,471,0,0.00
7572396652,2019-12-13 11:37:15,2019-07-01 00:00:00,,Virginia,757,No Subject Provided,N,757,239,0,0.00
8335366314,2019-12-13 11:37:59,2019-12-13 11:35:00,Williamsburg,Virginia,757,"Calls pretending to be government, businesses, or family and friends",Y,833,536,4,11.58
8332626808,2019-12-13 11:38:16,2019-07-10 00:00:00,,Virginia,757,No Subject Provided,N,833,262,2,0.00
8043225009,2019-12-13 11:39:36,2019-12-13 11:34:00,North Chesterfield,Virginia,804,Other,Y,804,322,4,11.57
7248621502,2019-12-13 10:34:12,2019-12-13 10:19:00,,Virginia,703,No Subject Provided,Y,724,862,4,10.32
4015193940,2019-12-13 11:39:56,2019-07-11 00:00:00,,Virginia,757,No Subject Provided,N,401,519,3,0.00
4782493288,2019-12-13 11:41:17,2019-12-10 16:59:00,Fairfax,Virginia,703,"Reducing your debt (credit cards, mortgage, student loans)",Y,478,249,1,16.98
8043225006,2019-12-13 11:41:54,2019-12-13 09:38:00,North Chesterfield,Virginia,804,Other,Y,804,322,4,9.63
5403262904,2019-12-13 11:43:02,2019-12-13 11:40:00,,Virginia,540,Warranties  & protection plans,Y,540,326,4,11.67
