Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
4022596798,2019-12-13 01:19:01,2019-12-09 11:50:00,Lincoln,Nebraska,402,No Subject Provided,Y
4022596798,2019-12-13 01:20:26,2019-12-10 10:16:00,Lincoln,Nebraska,402,No Subject Provided,Y
4022596798,2019-12-13 01:22:01,2019-12-10 11:14:00,Lincoln,Nebraska,402,No Subject Provided,Y
2145156871,2019-12-13 01:24:02,2019-12-10 12:05:00,Lincoln,Nebraska,402,No Subject Provided,Y
6265937628,2019-12-13 01:25:00,2019-12-12 10:01:00,Pasadena,California,626,No Subject Provided,Y
4022596798,2019-12-13 01:26:56,2019-12-10 12:47:00,Lincoln,Nebraska,402,No Subject Provided,Y
8173741484,2019-12-13 01:27:52,2019-12-04 09:07:00,los angeles,California,323,"Reducing your debt (credit cards, mortgage, student loans)",Y
7347211156,2019-12-13 01:28:40,2019-12-12 10:01:00,Bronx,New York,718,"Calls pretending to be government, businesses, or family and friends",Y
4022596798,2019-12-13 01:29:00,2019-12-10 14:58:00,Lincoln,Nebraska,402,No Subject Provided,Y
2027029541,2019-12-13 01:29:12,2019-12-11 09:54:00,LAS VEGAS,Nevada,702,No Subject Provided,Y
4253229050,2019-12-13 01:29:50,2019-12-11 14:29:00,Escondido,California,425,Other,N
2015754507,2019-12-13 01:29:50,2019-12-08 10:39:00,los angeles,California,323,Other,Y
6464340679,2019-12-13 01:31:03,2019-12-12 13:00:00,Bronx,New York,718,No Subject Provided,N
3237293040,2019-12-13 01:31:43,2019-12-06 08:11:00,los angeles,California,323,Other,Y
3237293040,2019-12-13 01:32:44,2019-12-01 13:02:00,los angeles,California,323,Other,Y
7273954203,2019-12-13 01:34:54,2019-12-12 09:32:00,Simpsonville,South Carolina,864,Other,N
8156111208,2019-12-13 01:36:35,2019-12-11 11:08:00,,Illinois,815,No Subject Provided,N
9033100866,2019-12-13 01:35:50,2019-12-05 15:07:00,los angeles,California,323,Warranties  & protection plans,Y
9033100866,2019-12-13 01:36:46,2019-12-01 11:07:00,los angeles,California,323,Warranties  & protection plans,Y
3093424112,2019-12-13 01:39:42,2019-12-10 12:13:00,,Illinois,815,No Subject Provided,N
7274837322,2019-12-13 01:39:14,2019-12-03 10:19:00,los angeles,California,323,Computer  & technical support,Y
6234924206,2019-12-13 01:39:41,2019-12-11 14:48:00,Oklahoma City,Oklahoma,405,Other,N
7274837322,2019-12-13 01:39:58,2019-12-06 10:26:00,los angeles,California,323,Computer  & technical support,Y
3058314063,2019-12-13 01:40:44,2019-12-12 12:13:00,,Texas,903,"Calls pretending to be government, businesses, or family and friends",Y
8156091038,2019-12-13 01:43:06,2019-12-09 09:38:00,,Illinois,815,No Subject Provided,N
8643362381,2019-12-13 01:43:40,2019-12-12 17:36:00,Simpsonville,South Carolina,864,Other,N
8772130849,2019-12-13 01:44:06,2019-12-11 14:19:00,Lawton,Oklahoma,580,No Subject Provided,Y
9524426199,2019-12-13 01:46:02,2019-12-08 12:34:00,,Illinois,815,No Subject Provided,N
